"","Clustur","Link","Total_link_strength","Occurrence","Average_citation"
"Clustur",1,0.0288821116337575,0.0246139600962062,-0.120318728812425,-0.0452755253052216
"Link",0.0288821116337575,1,0.972631079969951,0.929166957380763,0.134629394690455
"Total_link_strength",0.0246139600962062,0.972631079969951,1,0.954113916649994,0.11534406633295
"Occurrence",-0.120318728812425,0.929166957380763,0.954113916649994,1,0.026752217124017
"Average_citation",-0.0452755253052216,0.134629394690455,0.11534406633295,0.026752217124017,1
