"","Year","n"
"1",1995,2
"2",1996,2
"3",1997,3
"4",1998,1
"5",1999,4
"6",2000,5
"7",2001,11
"8",2002,6
"9",2003,9
"10",2004,12
"11",2005,16
"12",2006,18
"13",2007,21
"14",2008,16
"15",2009,26
"16",2010,19
"17",2011,19
"18",2012,32
"19",2013,32
"20",2014,46
"21",2015,75
"22",2016,70
"23",2017,78
"24",2018,110
"25",2019,148
"26",2020,57
