"","Country","Count","% of Total"
"1","Afghanistan",3,0.3
"2","Bangladesh",22,2.4
"3","Bhutan",9,1
"4","China",229,25.3
"5","HKH",88,9.7
"6","India",242,26.7
"7","Myanmar",34,3.8
"8","Nepal",78,8.6
"9","Others",82,9.1
"10","Pakistan",50,5.5
"11",NA,1,0.1
