"","keyid","Year","aff"
"157",158,2016,"Nepal,Nepal"
"158",159,2015,"Philippines,Nepal"
"159",160,2016,"Philippines,Nepal"
"160",161,2020,"India"
"161",162,2018,"India,India,India"
"162",163,2019,"India"
"163",164,2019,"China,France,China"
"164",165,2019,"China,China"
"165",166,2016,"Bhutan,Bhutan,Bhutan,Bhutan,Bhutan,Australia,Bhutan"
"166",167,2015,"China,Kong,Kingdom"
"167",168,2020,"India,India,India,India"
"168",169,2019,"Myanmar,Malaysia,Indonesia,Myanmar,Myanmar,Laos,Myanmar,Australia"
"169",170,2006,"Kingdom,Kingdom,Spain,Pakistan,Pakistan"
"170",171,2019,"India,States,Sweden"
"171",172,2018,"India,Sweden"
"172",173,2018,"India,Australia,Oman,Pakistan,Kenya,Sweden"
"173",174,1999,"Australia"
"174",175,2006,"Japan,Japan"
"175",176,2017,"Italy,India"
"176",177,2015,"India"
"177",178,2011,"Australia"
"178",179,2015,"China"
"179",180,2020,"Oman,Pakistan,Tunisia,Oman,Korea"
"180",181,2009,"India,India"
"181",182,2018,"China,China,Italy,States"
"182",183,2020,"China,China"
"183",184,2016,"Thailand,Thailand,Bangladesh,Bangladesh"
"184",185,2007,"Canada"
"185",186,2009,"China,Australia,China"
"186",187,2008,"China,China,China"
"187",188,2010,"China,China"
"188",189,2003,"China,States"
"189",190,2005,"China,China"
"190",191,2011,"Germany"
"191",192,2015,"Japan"
"192",193,2018,"Kingdom"
"193",194,2015,"India,India"
"194",195,2014,"India"
"195",196,2003,"China,States"
"196",197,2005,"China,China"
"197",198,2019,"India,India"
"198",199,2020,"India,Canada,Canada,Canada"
"199",200,2012,"States,Nepal"
"200",201,2019,"Norway"
"201",202,2018,"India,India,India,India,India,India"
"202",203,2018,"China,China,China,China,China"
"203",204,2009,"China"
"204",205,2010,"Bhutan,Denmark,Denmark,Denmark"
"205",206,2016,"Nepal"
"206",207,2012,"Bangladesh,Bangladesh,Bangladesh,States"
"207",208,2015,"India,India"
"208",209,2009,"India"
"209",210,2019,"Nepal"
"210",212,2019,"India"
"211",213,2009,"India"
"212",214,2012,"Japan,China,Japan"
"213",215,2018,"China"
"214",216,2010,"States,Australia,States,States,States,China,China"
"215",217,2015,"China"
"216",218,1995,"China,States"
"217",219,2015,"China"
"218",220,2018,"China,China,China,China"
"219",221,2011,"China,Japan,China"
"220",222,2020,"China,China,China"
"221",223,2017,"States,States,States,States"
"222",224,2016,"China,Australia,China,China,China,Philippines,Nam,Thailand,Nam,Nam,Thailand,Zealand,Malaysia"
"223",225,2010,"Korea,Korea,Korea,Korea,States"
"224",226,2010,"Nepal,India,Nepal,Italy"
"225",227,2019,"Sweden,Tajikistan"
"226",228,2019,"China,Kong"
"227",229,2016,"Bangladesh,Bangladesh"
"228",230,2008,"India"
"229",231,2017,"China"
"230",232,2019,"China"
"231",233,2019,"China,China"
"232",234,2006,"States"
"233",235,2015,"Mexico,Germany,India"
